,customer_id,age,gender,region,customer_type,plan_type,plan_tier,monthly_fee_€,contract_length_months,auto_renewal,subscription_status,avg_monthly_data_gb,avg_monthly_voice_minutes,sms_per_month,roaming_last_3m,loyalty_member,app_logins_per_month,dropped_calls_last_month,avg_download_speed_mbps,coverage_complaints_6m,csat_score,payment_method,on_time_payments,late_payments_6m,outstanding_balance_€,discount_last_renewal,downgraded_last_6m,last_offer_accepted,campaign_ctr,support_tickets_6m,avg_resolution_time_hrs,email_open_rate,nps_score,subscription_start_date,subscription_end_date,first_name,last_name,full_name,email,Phone,tenure_days
14,TI-2023-000015,57,Male,Dublin,Individual,Postpay,Essentials,60,0,No,Active,54.4,2841,161,Yes,Yes,26,15,277.2,1,5,Credit Card,Yes,0,300.56,No,No,No,0.61,4,18.9,0.8,24,2023-12-31,2024-05-13,William,Smith,William Smith,william_smith@icloud.com,+353-1-3886177,134
15,TI-2024-000016,41,Female,Dublin,Individual,Prepay,Freedom,58,1,Yes,Active,83.9,2469,294,Yes,No,22,7,222.6,3,1,Credit Card,No,0,462.41,Yes,No,Yes,0.25,1,59.3,0.58,52,2024-06-08,2024-07-08,Helen,Jones,Helen Jones,helen_jones@hotmail.com,+353-1-2642239,30
16,TI-2024-000017,20,Female,Dublin,Individual,Postpay,Freedom,52,1,Yes,Active,44.8,1987,40,Yes,No,4,11,95.5,0,5,Credit Card,Yes,4,114.26,No,No,No,0.21,2,27.8,0.66,-83,2024-04-25,2024-05-25,Kimberly,Jackson,Kimberly Jackson,kimberly_jackson@outlook.com,+353-1-8820373,30
17,TI-2024-000018,39,Female,Dublin,Individual,Prepay,Unlimited,81,1,No,Active,23.4,774,376,Yes,No,27,13,229.2,3,5,Debit Card,Yes,4,246.86,No,No,No,0.48,3,58.7,0.39,-37,2024-06-18,2024-07-18,Pamela,Nelson,Pamela Nelson,pamela_nelson@icloud.com,+353-1-2859266,30
18,TI-2024-000019,19,Male,Dublin,Family,Prepay,Freedom,96,1,Yes,Active,32.1,2525,363,No,No,12,18,7.6,3,3,Credit Card,No,3,442.0,Yes,No,No,0.27,2,36.1,0.68,-22,2024-07-10,2024-08-09,Thomas,Wright,Thomas Wright,thomas_wright@outlook.com,+353-1-1454251,30
19,TI-2025-000020,41,Male,Other,Individual,Prepay,Essentials,14,12,Yes,Active,53.0,925,164,No,Yes,18,10,158.4,3,5,Direct Debit,No,2,38.95,No,No,No,0.22,2,61.9,0.98,-42,2025-01-19,2026-01-14,Ronald,Jones,Ronald Jones,ronald_jones@icloud.com,+353-85-2090715,360
20,TI-2022-000021,61,Male,Cork,Family,Prepay,Unlimited,51,1,Yes,Active,55.5,119,320,Yes,No,27,11,75.9,3,2,Credit Card,Yes,1,27.94,No,No,No,0.19,2,64.5,0.65,54,2022-09-19,2022-10-19,Joshua,Flores,Joshua Flores,joshua_flores@yahoo.com,+353-21-4388580,30
21,TI-2025-000022,47,Male,Dublin,Family,Postpay,Freedom,16,0,Yes,Active,81.5,1938,373,No,Yes,27,12,35.2,1,2,Direct Debit,Yes,1,116.65,No,No,No,0.57,3,43.4,0.34,-43,2025-01-28,2025-04-03,Dennis,Martinez,Dennis Martinez,dennis_martinez@outlook.com,+353-1-1189321,65
22,TI-2024-000023,55,Female,Dublin,Individual,Postpay,Essentials,51,12,Yes,Active,80.2,487,334,No,No,23,7,265.2,4,2,Credit Card,Yes,1,316.51,No,Yes,No,0.06,2,37.0,0.29,-40,2024-07-13,2025-07-08,Kimberly,Roberts,Kimberly Roberts,kimberly_roberts@mail.com,+353-1-9343305,360
23,TI-2024-000024,19,Female,Cork,Individual,SIM-only,Freedom,45,24,No,Active,60.2,2125,159,No,Yes,9,0,60.6,1,1,Credit Card,No,2,129.94,Yes,No,No,0.52,2,56.6,0.96,17,2024-08-21,2026-08-11,Lisa,Mitchell,Lisa Mitchell,lisa_mitchell@outlook.com,+353-21-6228512,720
24,TI-2025-000025,38,Male,Galway,Individual,Postpay,Freedom,36,12,Yes,Active,79.2,440,263,No,Yes,19,8,246.9,2,4,Credit Card,Yes,3,95.12,No,No,No,0.37,1,20.0,0.19,-22,2025-01-25,2026-01-20,Paul,Rivera,Paul Rivera,paul_rivera@outlook.com,+353-91-473817,360
25,TI-2024-000026,50,Other,Cork,Family,Postpay,Freedom,67,1,Yes,Active,23.2,461,352,No,Yes,24,1,124.6,3,3,Direct Debit,Yes,1,229.4,No,No,No,0.44,1,2.1,0.81,-30,2024-04-30,2024-05-30,Brenda,Mitchell,Brenda Mitchell,brenda_mitchell@mail.com,+353-21-3519932,30
26,TI-2025-000027,29,Female,Other,Individual,Prepay,Freedom,55,24,Yes,Active,9.8,611,17,Yes,Yes,20,13,5.3,2,1,Debit Card,Yes,0,306.8,No,No,No,0.1,1,29.9,0.47,70,2025-01-07,2026-12-28,Betty,Hernandez,Betty Hernandez,betty_hernandez@mail.com,+353-86-8320217,720
27,TI-2025-000028,39,Male,Cork,Individual,Prepay,Unlimited,75,24,Yes,Active,88.0,1317,172,No,Yes,13,12,220.0,1,4,Credit Card,Yes,0,124.28,No,No,No,0.43,0,37.1,0.44,-13,2025-05-23,2027-05-13,Dennis,Harris,Dennis Harris,dennis_harris@gmail.com,+353-21-9705212,720
28,TI-2024-000029,61,Male,Other,Individual,Postpay,Unlimited,34,1,Yes,Active,12.2,1659,476,Yes,Yes,21,15,179.3,3,3,Credit Card,No,0,150.35,Yes,No,Yes,0.31,2,22.1,0.75,-14,2024-03-15,2024-04-14,Jack,Rodriguez,Jack Rodriguez,jack_rodriguez@mail.com,+353-89-2996107,30
29,TI-2024-000030,42,Male,Other,Individual,Postpay,Freedom,82,0,Yes,Active,28.4,916,351,No,Yes,20,1,103.9,1,3,Credit Card,Yes,4,306.78,Yes,No,No,0.19,4,28.2,0.15,38,2024-08-01,2024-11-04,Richard,Nguyen,Richard Nguyen,richard_nguyen@gmail.com,+353-89-3703270,95
30,TI-2025-000031,66,Male,Dublin,Individual,Postpay,Essentials,36,12,Yes,Active,71.1,2656,32,No,Yes,25,3,85.2,3,3,Debit Card,Yes,4,472.87,Yes,Yes,No,0.58,4,10.4,0.47,-13,2025-02-11,2026-02-06,Jason,Baker,Jason Baker,jason_baker@gmail.com,+353-1-8845938,360
31,TI-2022-000032,44,Male,Other,Individual,Prepay,Unlimited,10,24,Yes,Active,43.9,5,260,No,Yes,11,11,23.0,1,2,Credit Card,Yes,2,337.37,No,No,No,0.25,4,20.7,0.04,32,2022-10-13,2024-10-02,Patrick,Robinson,Patrick Robinson,patrick_robinson@mail.com,+353-87-4325145,720
32,TI-2024-000033,59,Male,Dublin,Family,Prepay,Freedom,96,24,Yes,Active,88.2,680,209,No,Yes,10,15,282.5,0,2,Debit Card,Yes,1,391.45,Yes,No,No,0.38,3,18.0,0.67,85,2024-01-31,2026-01-20,Patrick,Davis,Patrick Davis,patrick_davis@outlook.com,+353-1-3285696,720
33,TI-2023-000034,45,Male,Other,Individual,Postpay,Freedom,83,24,Yes,Active,33.3,2942,495,No,Yes,22,9,148.7,4,2,Debit Card,Yes,4,183.41,No,No,No,0.34,1,22.4,0.06,-62,2023-10-02,2025-09-21,Jack,Moore,Jack Moore,jack_moore@mail.com,+353-85-3522036,720
34,TI-2025-000035,33,Male,Dublin,Individual,Prepay,Freedom,51,12,Yes,Active,6.1,2318,382,Yes,Yes,6,2,26.6,4,3,Direct Debit,No,0,136.13,Yes,No,No,0.1,1,22.2,0.09,75,2025-05-14,2026-05-09,Gregory,Rivera,Gregory Rivera,gregory_rivera@yahoo.com,+353-1-5534333,360
35,TI-2024-000036,32,Female,Other,Individual,Prepay,Unlimited,61,12,Yes,Active,33.6,1643,329,No,No,16,3,260.7,3,3,Debit Card,Yes,4,227.13,No,No,No,0.42,1,40.7,0.84,-21,2024-01-27,2025-01-21,Rachel,Jackson,Rachel Jackson,rachel_jackson@hotmail.com,+353-86-7959131,360
36,TI-2024-000037,64,Male,Other,Family,Postpay,Freedom,34,0,No,Active,59.9,2858,381,No,No,17,5,84.4,0,2,Credit Card,Yes,0,403.57,Yes,No,No,0.33,3,18.8,0.44,-81,2024-08-08,2025-03-10,Charles,Lee,Charles Lee,charles_lee@hotmail.com,+353-83-8056540,214
37,TI-2025-000038,68,Female,Other,Individual,Prepay,Essentials,63,1,Yes,Cancelled,40.7,2606,163,No,Yes,6,4,61.9,2,3,Direct Debit,Yes,1,228.15,No,Yes,Yes,0.14,2,67.8,0.2,-20,2025-01-03,2025-02-02,Stephanie,Robinson,Stephanie Robinson,stephanie_robinson@mail.com,+353-85-8227978,30
38,TI-2023-000039,61,Male,Galway,Family,Postpay,Freedom,76,1,Yes,Active,55.8,98,480,Yes,No,23,17,85.0,0,2,Credit Card,Yes,2,423.36,No,No,No,0.2,0,37.3,0.59,-82,2023-11-10,2023-12-10,Charles,Garcia,Charles Garcia,charles_garcia@yahoo.com,+353-91-179529,30
39,TI-2024-000040,69,Other,Dublin,Individual,Prepay,Unlimited,15,12,Yes,Active,88.3,525,406,No,No,19,2,169.8,3,2,Credit Card,Yes,3,494.39,No,No,No,0.06,1,10.2,0.52,87,2024-06-19,2025-06-14,Joshua,King,Joshua King,joshua_king@yahoo.com,+353-1-3367930,360
40,TI-2025-000041,20,Male,Dublin,Individual,Prepay,Essentials,67,12,Yes,Cancelled,91.7,2241,423,No,Yes,5,9,23.1,0,2,Direct Debit,Yes,3,36.01,No,No,Yes,0.42,2,20.9,0.41,53,2025-02-14,2026-02-09,Mark,Rivera,Mark Rivera,mark_rivera@gmail.com,+353-1-7649501,360
41,TI-2024-000042,54,Male,Cork,Individual,Prepay,Unlimited,79,12,No,Active,30.3,1180,4,No,No,10,10,145.0,2,4,Credit Card,Yes,0,22.71,Yes,No,No,0.19,4,52.8,0.91,52,2024-09-17,2025-09-12,Paul,Campbell,Paul Campbell,paul_campbell@hotmail.com,+353-21-6231488,360
42,TI-2022-000043,68,Other,Dublin,Individual,Postpay,Freedom,62,1,Yes,Active,48.9,1689,33,No,Yes,11,18,268.8,3,3,Credit Card,Yes,4,74.79,Yes,Yes,No,0.16,0,2.0,0.75,42,2022-11-20,2022-12-20,Deborah,Miller,Deborah Miller,deborah_miller@mail.com,+353-1-1095974,30
43,TI-2024-000044,24,Female,Galway,Individual,Prepay,Freedom,75,12,Yes,Active,57.2,1138,279,No,Yes,25,13,57.3,4,1,Credit Card,No,4,192.18,No,No,No,0.27,4,67.6,0.15,48,2024-06-06,2025-06-01,Nancy,Lewis,Nancy Lewis,nancy_lewis@yahoo.com,+353-91-351074,360
44,TI-2023-000045,38,Female,Dublin,Individual,Postpay,Essentials,67,0,Yes,Active,95.2,395,144,No,Yes,15,10,100.0,0,2,Credit Card,Yes,0,65.52,No,No,No,0.27,2,32.6,0.57,74,2023-11-06,2024-06-12,Jessica,Hill,Jessica Hill,jessica_hill@mail.com,+353-1-8226337,219
45,TI-2024-000046,26,Male,Other,Family,Prepay,Essentials,91,1,Yes,Active,99.9,769,350,No,Yes,18,3,119.4,4,1,Credit Card,Yes,1,435.33,Yes,No,No,0.2,2,38.0,0.09,62,2024-06-01,2024-07-01,James,Lopez,James Lopez,james_lopez@yahoo.com,+353-87-9591377,30
46,TI-2023-000047,56,Male,Galway,Individual,Postpay,Unlimited,96,12,No,Cancelled,27.4,1826,70,No,No,22,5,176.3,4,4,Credit Card,Yes,0,11.57,No,Yes,No,0.14,4,71.2,0.24,71,2023-07-24,2024-07-18,Jack,Taylor,Jack Taylor,jack_taylor@icloud.com,+353-91-202783,360
47,TI-2024-000048,35,Female,Other,Individual,Prepay,Essentials,11,12,Yes,Active,74.1,1545,464,No,Yes,26,16,275.9,1,3,Credit Card,Yes,1,157.9,No,No,No,0.15,0,36.7,0.91,33,2024-01-10,2025-01-04,Mary,Rivera,Mary Rivera,mary_rivera@icloud.com,+353-86-1873107,360
48,TI-2024-000049,21,Female,Dublin,Individual,Postpay,Freedom,85,24,Yes,Active,40.9,2927,347,Yes,Yes,18,18,119.0,2,2,Direct Debit,Yes,2,92.35,Yes,Yes,No,0.17,4,68.3,0.46,15,2024-01-28,2026-01-17,Jessica,Thompson,Jessica Thompson,jessica_thompson@hotmail.com,+353-1-4587518,720
49,TI-2023-000050,42,Female,Other,Individual,Postpay,Freedom,31,1,Yes,Active,5.8,2792,229,Yes,Yes,10,12,21.7,0,2,Debit Card,Yes,2,465.77,Yes,No,No,0.06,4,66.0,0.89,0,2023-01-12,2023-02-11,Emma,Hernandez,Emma Hernandez,emma_hernandez@outlook.com,+353-86-8423998,30
50,TI-2024-000051,31,Female,Other,Individual,SIM-only,Essentials,46,1,Yes,Active,5.9,682,124,No,No,15,9,105.0,4,2,Debit Card,Yes,0,334.74,No,No,No,0.24,4,67.8,0.17,50,2024-02-04,2024-03-05,Janet,Williams,Janet Williams,janet_williams@yahoo.com,+353-87-5820534,30
51,TI-2024-000052,67,Male,Cork,Individual,Prepay,Essentials,29,1,No,Active,48.8,1556,277,Yes,No,22,10,57.8,4,1,Debit Card,No,2,456.02,Yes,No,Yes,0.27,0,58.7,0.21,-62,2024-08-03,2024-09-02,Charles,Robinson,Charles Robinson,charles_robinson@gmail.com,+353-21-6534625,30
52,TI-2025-000053,26,Female,Galway,Individual,Prepay,Freedom,33,1,Yes,Cancelled,51.4,14,270,No,No,27,5,195.9,2,4,Direct Debit,Yes,4,486.16,Yes,No,Yes,0.41,3,22.0,0.35,100,2025-02-22,2025-03-24,Betty,Brown,Betty Brown,betty_brown@yahoo.com,+353-91-471089,30
53,TI-2023-000054,43,Male,Galway,Individual,Prepay,Unlimited,93,24,Yes,Cancelled,7.1,2415,356,Yes,Yes,26,1,9.7,4,3,Direct Debit,Yes,1,248.55,Yes,No,Yes,0.24,0,25.6,0.37,45,2023-05-15,2025-05-04,Eric,White,Eric White,eric_white@mail.com,+353-91-925102,720
54,TI-2024-000055,19,Male,Dublin,Individual,Postpay,Freedom,74,12,Yes,Active,70.3,2685,14,No,Yes,11,0,88.3,4,4,Direct Debit,Yes,3,117.16,Yes,No,No,0.21,4,26.9,0.75,67,2024-02-23,2025-02-17,Gary,Lopez,Gary Lopez,gary_lopez@icloud.com,+353-1-8114168,360
55,TI-2022-000056,37,Male,Cork,Individual,Postpay,Freedom,74,24,Yes,Cancelled,32.9,2900,241,Yes,Yes,26,10,164.0,4,2,Direct Debit,Yes,3,96.86,No,No,No,0.6,1,70.5,0.6,-65,2022-09-12,2024-09-01,Raymond,Ramirez,Raymond Ramirez,raymond_ramirez@yahoo.com,+353-21-1558758,720
56,TI-2025-000057,45,Female,Dublin,Individual,Postpay,Freedom,90,1,Yes,Active,58.2,1236,497,No,Yes,7,15,83.9,4,4,Credit Card,No,2,111.46,Yes,No,Yes,0.24,1,26.6,0.55,55,2025-05-06,2025-06-05,Catherine,Lopez,Catherine Lopez,catherine_lopez@hotmail.com,+353-1-3693951,30
57,TI-2024-000058,64,Male,Dublin,Individual,Prepay,Freedom,10,24,Yes,Active,33.6,2747,152,No,Yes,2,2,165.7,1,1,Debit Card,Yes,1,354.3,Yes,No,Yes,0.25,2,8.7,0.6,91,2024-07-07,2026-06-27,Jerry,Nguyen,Jerry Nguyen,jerry_nguyen@hotmail.com,+353-1-9937936,720
58,TI-2023-000059,24,Male,Dublin,Business,Prepay,Freedom,12,0,Yes,Active,20.9,4,52,No,Yes,1,4,35.3,1,5,Debit Card,Yes,4,20.22,No,No,No,0.24,3,56.3,0.73,-18,2023-08-31,2024-03-02,Anthony,Wright,Anthony Wright,anthony_wright@gmail.com,+353-1-3806684,184
59,TI-2024-000060,61,Female,Dublin,Individual,Prepay,Unlimited,55,24,Yes,Active,43.7,2278,148,No,Yes,27,14,282.9,3,5,Debit Card,No,3,25.68,Yes,No,No,0.17,2,27.0,0.89,-7,2024-04-23,2026-04-13,Helen,Robinson,Helen Robinson,helen_robinson@yahoo.com,+353-1-5545500,720
60,TI-2022-000061,25,Male,Dublin,Individual,SIM-only,Freedom,64,1,Yes,Active,27.1,1908,357,Yes,No,5,14,88.0,0,3,Credit Card,Yes,4,304.07,Yes,Yes,Yes,0.3,2,45.1,0.41,85,2022-09-17,2022-10-17,Dennis,Johnson,Dennis Johnson,dennis_johnson@hotmail.com,+353-1-6170443,30
61,TI-2023-000062,64,Female,Dublin,Individual,Postpay,Freedom,84,1,No,Active,55.8,1425,449,Yes,No,15,3,277.0,2,3,Credit Card,Yes,4,321.03,No,No,Yes,0.23,1,66.6,0.8,65,2023-03-22,2023-04-21,Angela,Robinson,Angela Robinson,angela_robinson@hotmail.com,+353-1-9432540,30
62,TI-2023-000063,52,Male,Other,Family,SIM-only,Essentials,97,12,Yes,Active,23.9,1607,218,No,Yes,19,3,98.4,3,4,Credit Card,Yes,3,332.63,No,No,Yes,0.26,0,41.9,0.5,71,2023-11-26,2024-11-20,Donald,Hernandez,Donald Hernandez,donald_hernandez@mail.com,+353-87-9866837,360
63,TI-2022-000064,31,Female,Cork,Family,Prepay,Unlimited,95,24,Yes,Active,53.3,2633,112,No,Yes,23,7,234.8,1,3,Direct Debit,Yes,3,185.94,No,No,No,0.11,2,46.3,0.72,-99,2022-09-11,2024-08-31,Sharon,Nguyen,Sharon Nguyen,sharon_nguyen@outlook.com,+353-21-7161844,720
64,TI-2023-000065,34,Female,Other,Individual,Postpay,Essentials,73,0,Yes,Active,20.0,168,287,No,Yes,28,6,74.6,1,1,Debit Card,Yes,2,402.97,Yes,No,Yes,0.35,2,46.6,0.87,-28,2023-10-19,2024-07-01,Nancy,Harris,Nancy Harris,nancy_harris@icloud.com,+353-83-1281491,256
65,TI-2025-000066,53,Male,Cork,Business,Postpay,Essentials,54,1,Yes,Cancelled,68.7,2808,276,No,No,14,16,201.3,1,2,Credit Card,Yes,1,266.81,No,Yes,No,0.1,3,44.5,0.03,-66,2025-01-21,2025-02-20,Timothy,Nelson,Timothy Nelson,timothy_nelson@mail.com,+353-21-7557506,30
66,TI-2024-000067,67,Male,Dublin,Individual,Prepay,Freedom,35,24,Yes,Active,76.6,791,451,No,No,13,14,97.8,3,2,Credit Card,Yes,0,52.73,No,No,No,0.25,1,12.3,0.55,28,2024-01-25,2026-01-14,Ryan,Nelson,Ryan Nelson,ryan_nelson@mail.com,+353-1-4829704,720
67,TI-2025-000068,57,Male,Cork,Individual,Postpay,Freedom,86,1,No,Active,15.5,999,427,Yes,No,1,4,153.2,1,4,Debit Card,Yes,1,398.55,No,No,No,0.49,0,33.4,0.99,73,2025-03-07,2025-04-06,Donald,Sanchez,Donald Sanchez,donald_sanchez@mail.com,+353-21-5772211,30
68,TI-2023-000069,21,Male,Cork,Family,SIM-only,Freedom,74,0,Yes,Active,49.4,151,82,No,Yes,19,12,202.5,3,2,Credit Card,No,0,476.53,Yes,No,Yes,0.73,3,1.5,0.5,87,2023-10-04,2024-03-22,Gregory,Rodriguez,Gregory Rodriguez,gregory_rodriguez@mail.com,+353-21-7319255,170
69,TI-2024-000070,19,Other,Dublin,Family,Postpay,Freedom,33,1,Yes,Active,11.7,2271,449,No,No,17,3,177.1,1,4,Credit Card,Yes,3,30.02,Yes,Yes,No,0.34,0,45.5,0.86,-38,2024-09-16,2024-10-16,Catherine,Rodriguez,Catherine Rodriguez,catherine_rodriguez@icloud.com,+353-1-9501592,30
70,TI-2023-000071,23,Male,Galway,Individual,Postpay,Freedom,83,1,Yes,Active,61.8,503,217,No,Yes,13,16,173.3,4,3,Credit Card,Yes,4,195.68,No,Yes,No,0.02,0,41.9,0.19,-6,2023-11-20,2023-12-20,Jacob,Adams,Jacob Adams,jacob_adams@yahoo.com,+353-91-146982,30
71,TI-2024-000072,59,Female,Dublin,Individual,Prepay,Essentials,44,24,Yes,Active,30.1,1573,225,No,No,17,16,20.6,4,3,Credit Card,Yes,1,243.76,No,Yes,No,0.37,2,23.6,0.6,-56,2024-03-03,2026-02-21,Samantha,Lee,Samantha Lee,samantha_lee@gmail.com,+353-1-9538848,720
72,TI-2023-000073,21,Male,Galway,Individual,Prepay,Unlimited,33,12,Yes,Active,55.1,2091,269,Yes,No,1,13,75.5,0,1,Credit Card,Yes,4,73.24,No,No,Yes,0.57,3,38.2,0.87,24,2023-08-29,2024-08-23,Alexander,Williams,Alexander Williams,alexander_williams@hotmail.com,+353-91-994892,360
73,TI-2023-000074,46,Female,Galway,Individual,SIM-only,Freedom,37,12,No,Active,54.2,2744,14,No,No,0,13,172.0,1,2,Debit Card,Yes,1,433.85,Yes,No,No,0.4,2,36.0,0.43,84,2023-06-09,2024-06-03,Brenda,Wright,Brenda Wright,brenda_wright@hotmail.com,+353-91-197934,360
74,TI-2025-000075,35,Female,Dublin,Family,Prepay,Freedom,89,24,Yes,Active,92.8,503,403,Yes,Yes,19,16,6.5,0,1,Credit Card,Yes,5,142.07,Yes,Yes,No,0.45,4,18.8,0.49,-64,2025-02-13,2027-02-03,Kathleen,Scott,Kathleen Scott,kathleen_scott@yahoo.com,+353-1-8706425,720
75,TI-2025-000076,43,Female,Dublin,Individual,Postpay,Freedom,25,1,Yes,Active,57.2,2977,289,No,No,1,7,75.9,3,5,Credit Card,Yes,1,391.5,No,No,Yes,0.16,0,21.8,0.08,-94,2025-02-20,2025-03-22,Melissa,Hall,Melissa Hall,melissa_hall@yahoo.com,+353-1-5348799,30
76,TI-2023-000077,61,Male,Galway,Individual,Postpay,Essentials,68,0,Yes,Active,60.4,842,419,No,Yes,8,1,69.5,0,1,Debit Card,Yes,4,335.5,No,No,No,0.25,3,55.1,0.04,9,2023-08-04,2023-11-17,Jacob,Lewis,Jacob Lewis,jacob_lewis@outlook.com,+353-91-163974,105
77,TI-2025-000078,51,Male,Cork,Individual,Postpay,Freedom,90,1,Yes,Active,43.2,350,338,No,Yes,8,12,75.7,1,4,Debit Card,Yes,5,299.02,Yes,No,No,0.25,1,54.7,0.47,43,2025-04-26,2025-05-26,Eric,Ramirez,Eric Ramirez,eric_ramirez@outlook.com,+353-21-3200894,30
78,TI-2023-000079,27,Male,Dublin,Individual,SIM-only,Freedom,63,1,Yes,Active,95.2,2070,264,No,Yes,15,15,161.1,3,4,Credit Card,Yes,2,96.07,Yes,No,No,0.25,2,34.4,0.84,77,2023-06-29,2023-07-29,Justin,Wright,Justin Wright,justin_wright@yahoo.com,+353-1-4451279,30
